fiscal_year,site_no,spot_no,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
2020,1,1,2020-11-06,,0,0,0,0
2020,1,2,2020-11-06,,0,0,0,0
2020,1,3,2020-10-26,,0,0,0,0
2020,1,4,2020-10-26,,0,0,0,0
2020,1,5,2020-10-26,,0,0,0,0
2020,1,6,2020-10-26,,0,0,0,0
2020,1,7,2020-10-28,,0,0,0,0
2020,1,8,2020-10-28,,0,0,0,0
2020,1,9,2020-10-28,,0,0,0,0
2020,1,10,2020-12-22,,0,0,0,0
2020,1,11,2020-12-22,,0,0,0,0
2020,1,12,2020-12-29,,0,0,0,0
2020,1,13,2020-12-29,,0,0,0,0
2020,1,16,2020-11-11,,0,0,0,0
2020,1,17,2020-10-29,,0,0,0,0
2020,1,18,2020-10-29,,0,0,0,0
2020,1,19,2020-10-29,,0,0,0,0
2020,1,20,2020-11-11,,0,0,0,0
2020,3,1,2020-11-17,40,0,0,0,0
2020,3,2,2020-09-14,30,50,50,0,0
2020,3,3,2020-09-14,80,0,0,0,0
2020,3,4,2020-08-15,2.5,0,0,0,0
2020,3,5,2020-09-14,2.5,0,0,0,0
2020,3,6,2020-11-25,80,0,0,0,0
2020,3,7,2020-11-25,30,0,0,0,0
2020,3,8,2020-09-11,2.5,0,50,0,0
2020,3,9,2020-10-22,30,0,0,0,0
2020,3,10,2020-10-22,30,0,0,0,0
2020,3,11,2020-09-09,20,50,50,0,0
2020,3,12,2020-08-29,60,0,0,0,0
2020,3,13,2020-09-25,20,0,0,0,0
2020,3,14,2020-09-25,70,0,0,0,0
2020,3,15,2020-08-22,60,30,30,0,0
2020,4,1,2020-09-27,20,50,0,0,0
2020,4,2,2020-09-08,20,0.5,10,0.5,0.5
2020,4,3,2020-09-27,40,0.5,0,0.5,0
2020,4,4,2020-09-27,20,0,0,0,0
2020,4,5,2020-09-08,10,0.5,45,0.5,0.5
2020,4,6,2020-09-08,20,0,0,0,0
2020,4,7,2021-01-11,20,0,0,0,0
2020,4,8,2021-01-11,10,0,0,0,0
2020,4,9,2021-01-11,20,0,0,0,0
2020,4,10,2021-01-11,10,0,0,0,0
2020,4,11,2021-01-11,10,0,0,0,0
2020,4,12,2021-01-11,10,0,0,0,0
2020,4,13,2021-01-11,30,0,0,0,0
2020,4,15,2021-01-11,20,0,0,0,0
2020,4,16,2020-09-19,10,0,0,0,0
2020,4,17,2020-12-13,50,0,0,0,0
2020,4,18,2020-12-13,50,0,0,0,0
2020,4,19,2020-12-13,30,0,0,0,0
2020,4,20,2020-12-13,20,0,0,0,0
2020,4,21,2020-12-13,40,0,0,0,0
2020,4,22,2020-12-13,50,0,0,0,0
2020,4,23,2020-09-19,10,2.5,0,0,0
2020,4,24,2020-09-19,50,0,0,0,0
2020,4,25,2020-09-19,60,0,0,0,0
2020,4,27,2020-12-13,70,0,0,0,0
2020,4,28,2020-09-19,70,4,35,0,0
2020,4,33,2020-09-27,50,0.5,50,0,0
2020,4,39,2020-09-19,60,2.5,0,0.5,0
2020,4,40,2021-01-11,60,0,0,0,0
2020,4,42,2021-01-11,,0,0,0,0
2020,4,43,2020-12-13,,0,0,0,0
2020,5,1,2020-09-27,40,0,0,0,0
2020,5,4,2021-01-14,50,10,45,2.5,2.5
2020,5,5,2021-01-14,60,0,0,0,0
2020,5,6,2021-01-14,40,5,40,2.5,5
2020,5,7,2021-01-14,50,0,0,0,0
2020,5,8,2021-01-14,30,0,0,0,0
2020,5,9,2021-01-14,20,0,0,0,0
2020,5,10,2020-11-07,40,0,0,0,0
2020,5,12,2020-11-07,20,0,0,0,0
2020,5,13,2021-01-21,20,1.5,1.5,0,0
2020,5,14,2020-11-07,40,0,0,0,0
2020,5,15,2020-09-08,10,5,0,0,0
2020,5,16,2021-01-16,50,0,0,0,0
2020,5,17,2020-09-17,60,0,0,0,0
2020,5,18,2020-09-17,70,0,0,0,0
2020,5,19,2020-09-17,60,0,0,0,0
2020,5,20,2020-09-17,60,0,0,0,0
2020,5,21,2020-10-28,60,0.5,50,0,0
2020,5,23,2020-10-28,50,0,0,0,0
2020,5,24,2020-09-29,30,0,0,0,0
2020,5,25,2020-09-29,50,0,0,0,0
2020,5,26,2020-09-29,50,0,0,0,0
2020,5,27,2020-09-29,70,0,0,0,0
2020,5,28,2020-09-29,20,1.5,65,0.5,0
2020,5,29,2020-09-29,70,0,0,0,0
2020,5,31,2020-09-27,20,0.5,0,0,0
2020,5,32,2020-09-08,10,35,5,1.5,0.5
2020,5,33,2020-09-08,20,2.5,5,0.5,0.5
2020,5,40,2020-10-28,,0,0,0,0
2020,5,43,2020-09-08,20,0.5,60,0.5,0.5
2020,5,44,2021-01-21,30,10,45,0.5,2.5
2020,5,45,2021-01-14,70,0,0,0,0
2020,6,1,2020-10-28,80,0,0,0,0
2020,6,2,2020-10-28,60,0,0,0,0
2020,6,3,2020-10-28,60,0,0,0,0
2020,6,4,2020-10-28,50,0,0,0,0
2020,6,5,2020-10-28,60,0,0,0,0
2020,7,1,2020-10-03,30,0,0,0,0
2020,7,2,2020-10-03,10,0,0,0,0
2020,7,3,2020-10-04,30,0,0,0,0
2020,7,4,2020-11-07,30,0,0,0,0
2020,7,5,2020-11-07,30,0,0,0,0
2020,7,6,2020-09-19,40,2.5,0,0,0
2020,7,7,2020-11-07,50,0,0,0,0
2020,7,8,2020-09-19,20,0,0,0,0
2020,7,9,2020-09-19,30,0,0,0,0
2020,7,10,2020-10-04,20,0,0,0,0
2020,7,11,2020-10-03,40,2.5,0,0,0
2020,7,12,2020-10-03,30,2.5,0,0,0
2020,9,1,2020-11-22,40,0,0,0,0
2020,9,2,2020-09-19,30,0,0,0,0
2020,9,3,2020-09-19,10,0.5,0.5,0.5,0.5
2020,9,4,2020-12-19,30,0,0,0,0
2020,9,5,2020-10-04,5,10,20,0,0
2020,9,6,2020-10-04,5,0,0,0,0
2020,9,7,2020-10-04,20,5,10,0.5,0.5
2020,9,8,2020-12-19,20,2.5,0,0,0
2020,9,9,2020-09-19,20,0.5,0.5,0.5,0.5
2020,9,10,2020-09-19,40,0,0,0,0
2020,10,1,2020-11-22,5,0,0,0,0
2020,10,2,2020-11-22,20,0,0,0,0
2020,10,3,2020-11-22,10,0,0,0,0
2020,10,4,2020-11-22,10,0,0,0,0
2020,11,1,2020-10-05,2.5,0,0,0,0
2020,11,2,2020-10-05,30,0,0,0,0
2020,11,3,2020-10-05,2.5,0,0,0,0
2020,11,4,2020-10-05,2.5,0,0,0,0
2020,11,5,2020-10-05,60,0,0,0,0
2020,11,6,2020-10-05,60,0,0,0,0
2020,11,7,2020-10-05,30,0,0,0,0
2020,11,8,2020-10-05,40,0,0,0,0
2020,11,9,2020-10-05,10,0,0,0,0
2020,11,10,2020-11-02,10,0,0,0,0
